open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore,timestamp,log_return,simple_return,rolling_vol_30d
1603324800000,3.9574,4.4904,3.9511,4.3385,741499.28,1603411199999,3221997.415673,14349,359151.91000000,1559131.46961100,0,2020-10-22 00:00:00+00:00,0.09166350062205583,0.09599595806492345,2.037261054176892
1603411200000,4.3406,4.4872,4.1354,4.2568,324892.94,1603497599999,1398999.508028,7122,164162.21000000,707551.23863300,0,2020-10-23 00:00:00+00:00,-0.01901096195138474,-0.018831393338711422,1.4339859818495795
1603497600000,4.2539,4.362,4.14,4.1821,218601.98,1603583999999,933338.630134,4589,96393.06000000,412546.94346700,0,2020-10-24 00:00:00+00:00,-0.017704191575642087,-0.017548393159180553,1.066482990035805
1603584000000,4.1803,4.2526,4.1,4.1479,209663.9,1603670399999,877035.365953,4185,100772.01000000,421594.68291500,0,2020-10-25 00:00:00+00:00,-0.008211330651559398,-0.008177709763037777,1.0643889373390922
1603670400000,4.1409,4.4897,4.0141,4.148,661155.33,1603756799999,2796040.229951,11278,328373.02000000,1392392.97553100,0,2020-10-26 00:00:00+00:00,2.4108294459917824e-05,2.4108585067184052e-05,1.0557406654045247
1603756800000,4.1454,4.35,4.0343,4.1217,292754.21,1603843199999,1224513.041938,6096,123717.88000000,517535.18463400,0,2020-10-27 00:00:00+00:00,-0.006360590751405674,-0.006340405014464756,1.0498807131275785
1603843200000,4.1214,4.1792,3.9308,4.0596,359147.72,1603929599999,1446616.723493,6470,166854.28000000,672307.16741600,0,2020-10-28 00:00:00+00:00,-0.015181253023349179,-0.015066598733532333,0.9912024002335301
1603929600000,4.0607,4.1051,3.7296,3.7758,422589.86,1604015999999,1634343.735545,9672,202856.69000000,783999.01811800,0,2020-10-29 00:00:00+00:00,-0.0724721658137202,-0.06990836535619271,1.0211249630538837
1604016000000,3.7744,3.8226,3.5781,3.7224,850092.33,1604102399999,3139921.291919,14192,458298.05000000,1694334.61913700,0,2020-10-30 00:00:00+00:00,-0.01424365923050409,-0.014142698236135343,1.0069271038234096
1604102400000,3.7116,3.7612,3.5876,3.6456,346114.94,1604188799999,1268757.589933,5536,142312.91000000,521611.37306200,0,2020-10-31 00:00:00+00:00,-0.020847660580765946,-0.02063185041908444,0.9996899970923868
1604188800000,3.6355,3.7142,3.5521,3.6814,295468.18,1604275199999,1075668.74943,4647,137627.99000000,501410.06539700,0,2020-11-01 00:00:00+00:00,0.009772153648948952,0.009820057055080156,0.9808128422585445
1604275200000,3.6851,3.8775,3.6145,3.617,322604.28,1604361599999,1196807.923252,4773,146569.86000000,545043.18651600,0,2020-11-02 00:00:00+00:00,-0.01764816164652371,-0.01749334492312704,0.9767101865154382
1604361600000,3.6174,3.6513,3.2368,3.323,664899.75,1604447999999,2257175.605092,11493,247246.54000000,837769.84119600,0,2020-11-03 00:00:00+00:00,-0.08477696359750371,-0.08128283107547696,1.0167480507733062
1604448000000,3.3299,3.3759,3.0,3.1718,466205.93,1604534399999,1474605.416323,7338,215871.40000000,681767.36930800,0,2020-11-04 00:00:00+00:00,-0.046568739290093676,-0.04550105326512177,1.025772018899493
1604534400000,3.1736,3.3841,3.0211,3.3348,644688.78,1604620799999,2097043.285141,10486,316861.32000000,1031916.58207300,0,2020-11-05 00:00:00+00:00,0.05011345747195772,0.05139037770351207,0.9655300968284434
1604620800000,3.335,3.6666,3.3194,3.5913,910038.31,1604707199999,3199980.724892,14871,464885.26000000,1634658.09011700,0,2020-11-06 00:00:00+00:00,0.07410154638897554,0.07691615689096798,0.9958558461801813
1604707200000,3.594,3.9193,3.37,3.4126,832528.78,1604793599999,3034525.372528,15264,397352.15000000,1450663.64243800,0,2020-11-07 00:00:00+00:00,-0.051039789832269325,-0.049759140144237435,0.8994107430027123
1604793600000,3.4093,3.67,3.3613,3.4754,543130.62,1604879999999,1902820.877792,9342,238477.71000000,838857.12761600,0,2020-11-08 00:00:00+00:00,0.018235116194989506,0.01840239113872122,0.8482426026054483
1604880000000,3.4674,3.5399,3.2619,3.4125,534923.49,1604966399999,1828111.811395,9459,279152.21000000,956963.68720500,0,2020-11-09 00:00:00+00:00,-0.018264419794938886,-0.018098636128215495,0.831666230917797
1604966400000,3.421,3.63,3.369,3.5713,482731.01,1605052799999,1695101.155963,10551,227742.50000000,800527.43000500,0,2020-11-10 00:00:00+00:00,0.045484514653793814,0.04653479853479858,0.8468281695054807
1605052800000,3.5775,3.82,3.46,3.4842,389355.68,1605139199999,1409573.371887,9822,180495.30000000,656049.08793500,0,2020-11-11 00:00:00+00:00,-0.024691212540949754,-0.024388877999607983,0.8004446035461755
1605139200000,3.4918,3.5691,3.32,3.4243,314355.65,1605225599999,1075162.171426,8465,116810.59000000,401182.93148200,0,2020-11-12 00:00:00+00:00,-0.017341391360126114,-0.017191894839561406,0.7964230685699719
1605225600000,3.4268,3.7018,3.3911,3.6745,585394.03,1605311999999,2067256.881649,12430,324847.37000000,1148406.68788400,0,2020-11-13 00:00:00+00:00,0.0705199977229928,0.07306602809333285,0.8069722872352749
1605312000000,3.6779,3.7042,3.396,3.4894,443020.54,1605398399999,1558296.058204,10363,217644.14000000,766226.04931600,0,2020-11-14 00:00:00+00:00,-0.05168726732312461,-0.05037420057150643,0.8238226959733859
1605398400000,3.484,3.6415,3.4101,3.5453,438362.91,1605484799999,1550016.688202,10309,219843.42000000,777961.68347000,0,2020-11-15 00:00:00+00:00,0.01589298097396127,0.01601994612254254,0.8253217143706643
1605484800000,3.5348,3.82,3.455,3.7,658000.76,1605571199999,2430446.327836,15685,331737.48000000,1225908.26627300,0,2020-11-16 00:00:00+00:00,0.04271003701255304,0.04363523538205505,0.8293205576712023
1605571200000,3.7062,3.9333,3.6881,3.8355,490826.18,1605657599999,1866137.895597,13282,241464.62000000,918823.99994700,0,2020-11-17 00:00:00+00:00,0.035966984767035096,0.036621621621621525,0.8392913142047946
1605657600000,3.8476,3.8739,3.55,3.7445,531913.49,1605743999999,1983620.132666,14573,247337.18000000,923839.86374900,0,2020-11-18 00:00:00+00:00,-0.024011707709929265,-0.023725720245078907,0.841179489718285
1605744000000,3.7498,3.8272,3.5563,3.6399,386309.17,1605830399999,1423279.115023,11531,183203.35000000,675234.20660800,0,2020-11-19 00:00:00+00:00,-0.028331887963484795,-0.027934303645346548,0.8185522769021434
1605830400000,3.6432,4.0111,3.6224,3.715,657029.12,1605916799999,2485341.377474,17727,320393.99000000,1213740.63470900,0,2020-11-20 00:00:00+00:00,0.0204224694259226,0.020632434957004397,0.8089826894400031
1605916800000,3.7124,4.0983,3.67,4.0281,557225.0,1606003199999,2180220.32288,15953,278733.49000000,1091013.22314800,0,2020-11-21 00:00:00+00:00,0.08091612259491258,0.0842799461641992,0.7940323616057512
1606003200000,4.0291,4.0602,3.71,3.8892,562448.53,1606089599999,2174569.093522,15568,279512.87000000,1081102.59083300,0,2020-11-22 00:00:00+00:00,-0.03509131981127006,-0.03448275862068961,0.800204405382282
1606089600000,3.9066,4.2575,3.8519,4.0747,611842.99,1606175999999,2502647.908188,17388,322974.93000000,1322860.90309300,0,2020-11-23 00:00:00+00:00,0.046593643397501015,0.04769618430525546,0.8166054230903167
1606176000000,4.0748,4.3334,3.865,4.26,855854.35,1606262399999,3523674.519833,23606,452826.20000000,1867320.63525400,0,2020-11-24 00:00:00+00:00,0.04447203593041287,0.04547574054531611,0.8311882588610026
1606262400000,4.26,4.3989,3.9001,4.0453,763623.28,1606348799999,3224315.913486,21340,386869.64000000,1636793.44132700,0,2020-11-25 00:00:00+00:00,-0.05171344688437039,-0.050399061032863735,0.8512153749810276
1606348800000,4.0363,4.089,3.28,3.5447,1011308.69,1606435199999,3583580.90367,22311,466116.65000000,1651748.01146600,0,2020-11-26 00:00:00+00:00,-0.1321021832279521,-0.1237485476973278,0.9666548947602938
1606435200000,3.5399,3.7581,3.4178,3.5942,382067.49,1606521599999,1370077.828289,10723,200025.62000000,719798.56263900,0,2020-11-27 00:00:00+00:00,0.013867904946828222,0.013964510395802154,0.9681236769238823
1606521600000,3.5903,3.6998,3.4752,3.6271,256600.45,1606607999999,921787.753979,7168,140621.01000000,504410.60548500,0,2020-11-28 00:00:00+00:00,0.009111995800220781,0.009153636414223065,0.9368809554641726
1606608000000,3.6299,3.7662,3.531,3.7013,222772.03,1606694399999,812005.098106,6625,106312.64000000,387553.39197100,0,2020-11-29 00:00:00+00:00,0.020250678376092613,0.020457114499186524,0.938625384799028
1606694400000,3.7124,3.82,3.6418,3.7024,266744.6,1606780799999,993718.709584,7540,126559.69000000,472230.06070700,0,2020-11-30 00:00:00+00:00,0.00029714872512221147,0.00029719287817786544,0.9356611153655879
1606780800000,3.7044,3.8128,3.4501,3.5543,453003.61,1606867199999,1646953.635854,12892,210779.46000000,766110.43692400,0,2020-12-01 00:00:00+00:00,-0.040823119917027785,-0.04000108038029382,0.9459478995782215
1606867200000,3.55,3.8458,3.5059,3.74,255368.39,1606953599999,957259.825327,8016,131646.71000000,494356.72619000,0,2020-12-02 00:00:00+00:00,0.05092747332624801,0.05224657457164561,0.9610357880101544
1606953600000,3.7384,3.8966,3.7103,3.8123,217818.87,1607039999999,826292.006775,6870,115322.64000000,437781.02706100,0,2020-12-03 00:00:00+00:00,0.01914707011467364,0.019331550802138997,0.9112069480415299
1607040000000,3.8076,3.86,3.5091,3.5348,306354.06,1607126399999,1127218.753559,9455,139323.43000000,513416.38261700,0,2020-12-04 00:00:00+00:00,-0.07557596087940184,-0.07279070377462415,0.9369537789404969
1607126400000,3.5337,3.7182,3.5059,3.6382,176697.58,1607212799999,643773.565038,6446,82230.78000000,299659.91533500,0,2020-12-05 00:00:00+00:00,0.028832333184266434,0.029252008600203716,0.926542902999568
1607212800000,3.6384,3.6733,3.5077,3.6055,198916.73,1607299199999,712690.464158,6687,91116.93000000,326877.06336500,0,2020-12-06 00:00:00+00:00,-0.009028596471301492,-0.008987961079654716,0.8908259706550353
1607299200000,3.6036,3.6096,3.3,3.3895,319608.12,1607385599999,1099574.281482,11476,132801.75000000,457116.87037000,0,2020-12-07 00:00:00+00:00,-0.061778039485793974,-0.059908473165996456,0.8993363392197121
1607385600000,3.3896,3.3948,3.085,3.1172,947986.45,1607471999999,3046976.727632,27211,398761.63000000,1282461.30829500,0,2020-12-08 00:00:00+00:00,-0.0837472549016144,-0.08033633279244723,0.9423113891428693
1607472000000,3.1185,3.4411,2.8001,3.2652,1491988.4,1607558399999,4695416.740569,40039,744021.16000000,2342287.11685600,0,2020-12-09 00:00:00+00:00,0.04638585360779517,0.047478506351854355,0.9565460472338438
1607558400000,3.2644,3.3583,3.0643,3.1499,1121704.58,1607644799999,3565572.16802,30763,556006.11000000,1769505.52796400,0,2020-12-10 00:00:00+00:00,-0.035950310293184115,-0.03531177263261054,0.9483727905119647
1607644800000,3.1482,3.307,3.0131,3.2375,740274.35,1607731199999,2337159.33137,18198,375021.14000000,1187000.94377000,0,2020-12-11 00:00:00+00:00,0.027430720723776295,0.027810406679577016,0.9516089584859491
1607731200000,3.232,3.45,3.2318,3.3332,695480.54,1607817599999,2344805.084184,18346,342484.67000000,1155954.88408700,0,2020-12-12 00:00:00+00:00,0.029131376500258547,0.029559845559845588,0.9562496029609376
1607817600000,3.3409,3.4173,3.2806,3.3405,598125.27,1607903999999,2004392.173293,15841,223142.39000000,748612.50615500,0,2020-12-13 00:00:00+00:00,0.0021876928574802983,0.0021900876035041428,0.9210735364818098
1607904000000,3.3401,3.3424,3.1357,3.1433,1041542.84,1607990399999,3373687.913547,23943,512720.23000000,1660539.96212500,0,2020-12-14 00:00:00+00:00,-0.060847292916236737,-0.0590330788804071,0.9276760831333047
1607990400000,3.1439,3.5441,3.06,3.3014,899508.23,1608076799999,2892716.328494,16415,508637.16000000,1641720.00547100,0,2020-12-15 00:00:00+00:00,0.04907341746414538,0.05029745808545161,0.9434830178532448
1608076800000,3.3012,3.3844,3.1451,3.3409,660892.42,1608163199999,2159766.50723,13102,309865.96000000,1012100.63792100,0,2020-12-16 00:00:00+00:00,0.011893610837034068,0.01196462106984919,0.9309887709721838
1608163200000,3.3444,3.3823,3.1761,3.2079,634136.04,1608249599999,2081508.250754,16032,316164.35000000,1037263.49713900,0,2020-12-17 00:00:00+00:00,-0.040623714319754006,-0.0398096321350534,0.9285510100206644
1608249600000,3.2068,3.4737,3.1424,3.4081,642895.11,1608335999999,2155784.994686,14710,289015.50000000,971626.17224600,0,2020-12-18 00:00:00+00:00,0.060538433811001144,0.0624084291904361,0.9543347724213067
1608336000000,3.4081,3.6076,3.3783,3.4651,506114.81,1608422399999,1766889.229229,11814,268843.28000000,938339.91836600,0,2020-12-19 00:00:00+00:00,0.016586540994699327,0.01672486135970197,0.9522688685483672
1608422400000,3.458,3.498,3.2755,3.304,415890.15,1608508799999,1410347.259046,10563,178547.58000000,606161.66180600,0,2020-12-20 00:00:00+00:00,-0.04760763659555243,-0.046492164728290764,0.9619470202488608
1608508800000,3.3041,3.3564,2.925,3.0892,827256.68,1608595199999,2612957.516764,15173,455241.24000000,1445061.63580300,0,2020-12-21 00:00:00+00:00,-0.06722169794575981,-0.0650121065375302,0.9359640464919361
1608595200000,3.0922,3.1331,2.9198,3.0761,488812.87,1608681599999,1491311.874349,12708,240418.22000000,734113.10178400,0,2020-12-22 00:00:00+00:00,-0.004249596845078903,-0.0042405800854590225,0.9312497033431179
1608681600000,3.0705,3.6937,2.7501,2.9465,2874448.39,1608767999999,9261933.812551,45448,1438690.93000000,4672678.04470900,0,2020-12-23 00:00:00+00:00,-0.04304453557206188,-0.0421312701147557,0.9177201128562495
1608768000000,2.9525,3.1153,2.7679,3.1006,910977.44,1608854399999,2685159.915499,17310,508763.97000000,1500885.29283500,0,2020-12-24 00:00:00+00:00,0.05097761585429371,0.05229933819786181,0.9229179378197349
1608854400000,3.1171,3.1301,2.84,2.9517,870245.85,1608940799999,2616820.76836,13945,459837.99000000,1385185.77965000,0,2020-12-25 00:00:00+00:00,-0.0492143655924323,-0.04802296329742628,0.9215565420421864
1608940800000,2.9497,2.9975,2.85,2.9178,475916.53,1609027199999,1389240.084468,9761,243720.06000000,711413.34834600,0,2020-12-26 00:00:00+00:00,-0.011551367902034365,-0.011484907002744182,0.8106094392880963
1609027200000,2.9223,3.0759,2.8401,2.9026,566733.02,1609113599999,1671043.032388,11940,295642.23000000,872446.13799900,0,2020-12-27 00:00:00+00:00,-0.005223020601532718,-0.005209404345740021,0.8073040949226962
1609113600000,2.9168,3.0496,2.8685,2.9577,932674.77,1609199999999,2756574.760554,16135,469657.22000000,1387466.24294900,0,2020-12-28 00:00:00+00:00,0.01880505221284288,0.01898298077585614,0.810459453099523
1609200000000,2.9609,3.01,2.8322,2.9248,831346.83,1609286399999,2414759.350668,14790,389996.12000000,1133287.34815300,0,2020-12-29 00:00:00+00:00,-0.01118583698927457,-0.01112350813131835,0.8046500031310465
1609286400000,2.925,2.94,2.8327,2.9162,443153.2,1609372799999,1281341.750208,8325,228012.77000000,660065.25422300,0,2020-12-30 00:00:00+00:00,-0.002944703377645875,-0.0029403719912471926,0.8043163299227887
1609372800000,2.9166,3.2997,2.78,3.1859,861034.14,1609459199999,2566199.289135,11933,450938.90000000,1351080.02584800,0,2020-12-31 00:00:00+00:00,0.08845342477569387,0.09248336876757435,0.862151464312454
1609459200000,3.1859,3.86,3.0178,3.6497,3817118.74,1609545599999,13320352.515239,70279,2050029.52000000,7147803.24453300,0,2021-01-01 00:00:00+00:00,0.13591014875990706,0.14557895728051728,0.9736124425641173
1609545600000,3.6544,3.939,3.2851,3.4956,1768205.15,1609631999999,6320501.643065,33883,888531.89000000,3168661.82938200,0,2021-01-02 00:00:00+00:00,-0.04313993766439656,-0.04222264843685786,0.9817461635474323
1609632000000,3.5005,3.83,3.3916,3.4691,989465.26,1609718399999,3561844.037362,23131,500701.58000000,1804771.08428400,0,2021-01-03 00:00:00+00:00,-0.007609840447897149,-0.00758095891978483,0.9464002338481228
1609718400000,3.477,3.83,3.2283,3.5999,1242545.27,1609804799999,4375481.173986,27560,662167.67000000,2338914.41671300,0,2021-01-04 00:00:00+00:00,0.037010872975121865,0.03770430370989586,0.950027251630388
1609804800000,3.5999,4.3556,3.4703,4.2501,2403396.82,1609891199999,9663679.904451,51826,1219410.53000000,4894284.23329500,0,2021-01-05 00:00:00+00:00,0.16603644477280102,0.1806161282257841,1.1122950290800224
1609891200000,4.2502,4.9773,4.1361,4.5788,2925158.25,1609977599999,13394273.806017,59158,1558815.17000000,7133637.15827300,0,2021-01-06 00:00:00+00:00,0.0744944429909063,0.07733935672101833,1.110140716136039
1609977600000,4.5803,4.8205,4.1827,4.4707,1471492.75,1610063999999,6716608.549059,37538,722760.31000000,3310245.50662400,0,2021-01-07 00:00:00+00:00,-0.023891959144564042,-0.023608805800646504,1.065229692958066
1610064000000,4.4728,5.9,4.0,5.7,3037659.66,1610150399999,15644301.381812,62970,1596143.14000000,8232276.77326400,0,2021-01-08 00:00:00+00:00,0.2429211789228844,0.27496812579685526,1.3321715661237938
1610150400000,5.6999,7.487,5.5761,7.1877,4060100.24,1610236799999,26852840.184141,99912,2283782.49000000,15088168.75648200,0,2021-01-09 00:00:00+00:00,0.2319050569827826,0.2610000000000001,1.5099602170004072
1610236800000,7.2115,7.4969,6.15,6.5416,1865913.15,1610323199999,12731233.063482,56837,944368.42000000,6447537.98595600,0,2021-01-10 00:00:00+00:00,-0.0941894479576566,-0.08988967263519632,1.5684880734646152
