price_band_pct,depth_at_10m_tvl_usd,depth_at_50m_tvl_usd,depth_at_100m_tvl_usd,marginal_slippage_bps_per_100k
-5.0,120000,600000,1200000,8.5
-4.0,180000,900000,1800000,6.2
-3.0,250000,1250000,2500000,4.8
-2.0,450000,2250000,4500000,3.1
-1.0,800000,4000000,8000000,1.8
-0.5,1200000,6000000,12000000,0.9
0.0,2000000,10000000,20000000,0.4
0.5,1200000,6000000,12000000,0.9
1.0,800000,4000000,8000000,1.8
2.0,450000,2250000,4500000,3.1
3.0,250000,1250000,2500000,4.8
4.0,180000,900000,1800000,6.2
5.0,120000,600000,1200000,8.5
