track,H_d,H_u,R,R_prime,R_tilde,sigma,crash_tolerance_pct,peg_volatility_pct,annual_reset_rate,utility_score
Tranching_Safety,0.15,1.75,0.06,0.02,0.0,0.6,-56.52173913043478,0.7932339194302247,0.4799131983084798,106.8708812742527
Tranching_Safety,0.15,1.75,0.06,0.02,0.0,0.8986,-56.52173913043478,1.188,0.71875,99.03869565217391
Tranching_Safety,0.15,1.75,0.06,0.02,0.0,1.2,-56.52173913043478,1.5864678388604494,0.9598263966169596,91.1330668963315
Tranching_Safety,0.15,1.75,0.06,0.02,0.1,0.6,-54.55079271873164,0.7932339194302247,0.4799131983084798,106.08250270957144
Tranching_Safety,0.15,1.75,0.06,0.02,0.1,0.8986,-54.55079271873164,1.188,0.71875,98.25031708749266
Tranching_Safety,0.15,1.75,0.06,0.02,0.1,1.2,-54.55079271873164,1.5864678388604494,0.9598263966169596,90.34468833165025
Tranching_Safety,0.15,1.75,0.06,0.02,0.15,0.6,-53.37639459776864,0.7932339194302247,0.4799131983084798,105.61274346118624
Tranching_Safety,0.15,1.75,0.06,0.02,0.15,0.8986,-53.37639459776864,1.188,0.71875,97.78055783910746
Tranching_Safety,0.15,1.75,0.06,0.02,0.15,1.2,-53.37639459776864,1.5864678388604494,0.9598263966169596,89.87492908326504
Tranching_Safety,0.15,1.75,0.06,0.03,0.0,0.6,-56.52173913043478,0.7932339194302247,0.4799131983084798,106.8708812742527
Tranching_Safety,0.15,1.75,0.06,0.03,0.0,0.8986,-56.52173913043478,1.188,0.71875,99.03869565217391
Tranching_Safety,0.15,1.75,0.06,0.03,0.0,1.2,-56.52173913043478,1.5864678388604494,0.9598263966169596,91.1330668963315
Tranching_Safety,0.15,1.75,0.06,0.03,0.1,0.6,-54.433352906635335,0.7932339194302247,0.4799131983084798,106.03552678473292
Tranching_Safety,0.15,1.75,0.06,0.03,0.1,0.8986,-54.433352906635335,1.188,0.71875,98.20334116265414
Tranching_Safety,0.15,1.75,0.06,0.03,0.1,1.2,-54.433352906635335,1.5864678388604494,0.9598263966169596,90.29771240681173
Tranching_Safety,0.15,1.75,0.06,0.03,0.15,0.6,-53.25895478567233,0.7932339194302247,0.4799131983084798,105.56576753634772
Tranching_Safety,0.15,1.75,0.06,0.03,0.15,0.8986,-53.25895478567233,1.188,0.71875,97.73358191426894
Tranching_Safety,0.15,1.75,0.06,0.03,0.15,1.2,-53.25895478567233,1.5864678388604494,0.9598263966169596,89.82795315842652
Tranching_Safety,0.15,1.75,0.06,0.04,0.0,0.6,-56.52173913043478,0.7932339194302247,0.4799131983084798,106.8708812742527
Tranching_Safety,0.15,1.75,0.06,0.04,0.0,0.8986,-56.52173913043478,1.188,0.71875,99.03869565217391
Tranching_Safety,0.15,1.75,0.06,0.04,0.0,1.2,-56.52173913043478,1.5864678388604494,0.9598263966169596,91.1330668963315
Tranching_Safety,0.15,1.75,0.06,0.04,0.1,0.6,-54.31591309453905,0.7932339194302247,0.4799131983084798,105.98855085989442
Tranching_Safety,0.15,1.75,0.06,0.04,0.1,0.8986,-54.31591309453905,1.188,0.71875,98.15636523781563
Tranching_Safety,0.15,1.75,0.06,0.04,0.1,1.2,-54.31591309453905,1.5864678388604494,0.9598263966169596,90.2507364819732
Tranching_Safety,0.15,1.75,0.06,0.04,0.15,0.6,-53.141514973576044,0.7932339194302247,0.4799131983084798,105.51879161150922
Tranching_Safety,0.15,1.75,0.06,0.04,0.15,0.8986,-53.141514973576044,1.188,0.71875,97.68660598943043
Tranching_Safety,0.15,1.75,0.06,0.04,0.15,1.2,-53.141514973576044,1.5864678388604494,0.9598263966169596,89.780977233588
Tranching_Safety,0.15,1.75,0.073,0.02,0.0,0.6,-56.52173913043478,0.7932339194302247,0.4799131983084798,106.8708812742527
Tranching_Safety,0.15,1.75,0.073,0.02,0.0,0.8986,-56.52173913043478,1.188,0.71875,99.03869565217391
Tranching_Safety,0.15,1.75,0.073,0.02,0.0,1.2,-56.52173913043478,1.5864678388604494,0.9598263966169596,91.1330668963315
Tranching_Safety,0.15,1.75,0.073,0.02,0.1,0.6,-54.689146469968385,0.7932339194302247,0.4799131983084798,106.13784421006613
Tranching_Safety,0.15,1.75,0.073,0.02,0.1,0.8986,-54.689146469968385,1.188,0.71875,98.30565858798735
Tranching_Safety,0.15,1.75,0.073,0.02,0.1,1.2,-54.689146469968385,1.5864678388604494,0.9598263966169596,90.40002983214495
Tranching_Safety,0.15,1.75,0.073,0.02,0.15,0.6,-53.518323381337076,0.7932339194302247,0.4799131983084798,105.66951497461362
Tranching_Safety,0.15,1.75,0.073,0.02,0.15,0.8986,-53.518323381337076,1.188,0.71875,97.83732935253484
Tranching_Safety,0.15,1.75,0.073,0.02,0.15,1.2,-53.518323381337076,1.5864678388604494,0.9598263966169596,89.93170059669242
Tranching_Safety,0.15,1.75,0.073,0.03,0.0,0.6,-56.52173913043478,0.7932339194302247,0.4799131983084798,106.8708812742527
Tranching_Safety,0.15,1.75,0.073,0.03,0.0,0.8986,-56.52173913043478,1.188,0.71875,99.03869565217391
Tranching_Safety,0.15,1.75,0.073,0.03,0.0,1.2,-56.52173913043478,1.5864678388604494,0.9598263966169596,91.1330668963315
Tranching_Safety,0.15,1.75,0.073,0.03,0.1,0.6,-54.572064161105246,0.7932339194302247,0.4799131983084798,106.09101128652088
Tranching_Safety,0.15,1.75,0.073,0.03,0.1,0.8986,-54.572064161105246,1.188,0.71875,98.2588256644421
Tranching_Safety,0.15,1.75,0.073,0.03,0.1,1.2,-54.572064161105246,1.5864678388604494,0.9598263966169596,90.3531969085997
Tranching_Safety,0.15,1.75,0.073,0.03,0.15,0.6,-53.40124107247394,0.7932339194302247,0.4799131983084798,105.62268205106837
Tranching_Safety,0.15,1.75,0.073,0.03,0.15,0.8986,-53.40124107247394,1.188,0.71875,97.79049642898958
Tranching_Safety,0.15,1.75,0.073,0.03,0.15,1.2,-53.40124107247394,1.5864678388604494,0.9598263966169596,89.88486767314717
Tranching_Safety,0.15,1.75,0.073,0.04,0.0,0.6,-56.52173913043478,0.7932339194302247,0.4799131983084798,106.8708812742527
Tranching_Safety,0.15,1.75,0.073,0.04,0.0,0.8986,-56.52173913043478,1.188,0.71875,99.03869565217391
Tranching_Safety,0.15,1.75,0.073,0.04,0.0,1.2,-56.52173913043478,1.5864678388604494,0.9598263966169596,91.1330668963315
Tranching_Safety,0.15,1.75,0.073,0.04,0.1,0.6,-54.45498185224212,0.7932339194302247,0.4799131983084798,106.04417836297564
Tranching_Safety,0.15,1.75,0.073,0.04,0.1,0.8986,-54.45498185224212,1.188,0.71875,98.21199274089686
Tranching_Safety,0.15,1.75,0.073,0.04,0.1,1.2,-54.45498185224212,1.5864678388604494,0.9598263966169596,90.30636398505445
Tranching_Safety,0.15,1.75,0.073,0.04,0.15,0.6,-53.284158763610826,0.7932339194302247,0.4799131983084798,105.57584912752311
Tranching_Safety,0.15,1.75,0.073,0.04,0.15,0.8986,-53.284158763610826,1.188,0.71875,97.74366350544433
Tranching_Safety,0.15,1.75,0.073,0.04,0.15,1.2,-53.284158763610826,1.5864678388604494,0.9598263966169596,89.83803474960192
Tranching_Safety,0.15,1.75,0.09,0.02,0.0,0.6,-56.52173913043478,0.7932339194302247,0.4799131983084798,106.8708812742527
Tranching_Safety,0.15,1.75,0.09,0.02,0.0,0.8986,-56.52173913043478,1.188,0.71875,99.03869565217391
Tranching_Safety,0.15,1.75,0.09,0.02,0.0,1.2,-56.52173913043478,1.5864678388604494,0.9598263966169596,91.1330668963315
Tranching_Safety,0.15,1.75,0.09,0.02,0.1,0.6,-54.86880466472304,0.7932339194302247,0.4799131983084798,106.209707487968
Tranching_Safety,0.15,1.75,0.09,0.02,0.1,0.8986,-54.86880466472304,1.188,0.71875,98.37752186588922
