path_id,annualized_peg_vol,max_drawdown_pct,burn_avax,n_upward,n_downward,max_solvency_gap
0,0.0,0.0,312000.00000000297,615,1,0.0
1,0.0,0.0,312000.00000000297,592,1,0.0
2,0.0,0.0,312000.00000000297,679,1,0.0
3,0.0,0.0,312000.00000000297,684,1,0.0
4,0.0,0.0,312000.00000000297,648,1,0.0
5,0.0,0.0,312000.00000000297,654,1,0.0
6,0.0,0.0,312000.00000000297,557,1,0.0
7,0.0,0.0,312000.00000000297,670,1,0.0
8,0.0,0.0,312000.00000000297,719,1,0.0
9,0.0,0.0,312000.00000000297,588,1,0.0
10,0.0,0.0,312000.00000000297,728,1,0.0
11,0.0,0.0,312000.00000000297,505,2,0.0
12,0.0,0.0,312000.00000000297,708,1,0.0
13,0.0,0.0,312000.00000000297,464,2,0.0
14,0.0,0.0,312000.00000000297,673,1,0.0
15,0.0,0.0,312000.00000000297,647,1,0.0
16,0.0,0.0,312000.00000000297,660,1,0.0
17,0.0,0.0,312000.00000000297,676,1,0.0
18,0.0,0.0,312000.00000000297,612,1,0.0
19,0.0,0.0,312000.00000000297,564,2,0.0
20,0.0,0.0,312000.00000000297,290,1,0.0
21,0.0,0.0,312000.00000000297,485,1,0.0
22,0.0,0.0,312000.00000000297,560,1,0.0
23,0.0,0.0,312000.00000000297,674,1,0.0
24,0.0,0.0,312000.00000000297,644,2,0.0
25,0.0,0.0,312000.00000000297,516,2,0.0
26,0.0,0.0,312000.00000000297,578,1,0.0
27,0.0,0.0,312000.00000000297,302,1,0.0
28,0.0,0.0,312000.00000000297,713,1,0.0
29,0.0,0.0,312000.00000000297,350,1,0.0
30,0.0,0.0,312000.00000000297,552,2,0.0
31,0.0,0.0,312000.00000000297,590,2,0.0
32,0.0,0.0,312000.00000000297,375,2,0.0
33,0.0,0.0,312000.00000000297,713,1,0.0
34,0.0,0.0,312000.00000000297,554,1,0.0
35,0.0,0.0,312000.00000000297,560,1,0.0
36,0.0,0.0,312000.00000000297,628,1,0.0
37,0.0,0.0,312000.00000000297,541,1,0.0
38,0.0,0.0,312000.00000000297,718,1,0.0
39,0.0,0.0,312000.00000000297,451,2,0.0
40,0.0,0.0,312000.00000000297,695,1,0.0
41,0.0,0.0,312000.00000000297,668,1,0.0
42,0.0,0.0,312000.00000000297,709,1,0.0
43,0.0,0.0,312000.00000000297,700,1,0.0
44,0.0,0.0,312000.00000000297,647,1,0.0
45,0.0,0.0,312000.00000000297,595,1,0.0
46,0.0,0.0,312000.00000000297,562,1,0.0
47,0.0,0.0,312000.00000000297,651,2,0.0
48,0.0,0.0,312000.00000000297,558,2,0.0
49,0.0,0.0,312000.00000000297,591,2,0.0
50,0.0,0.0,312000.00000000297,551,2,0.0
51,0.0,0.0,312000.00000000297,641,2,0.0
52,0.0,0.0,312000.00000000297,632,1,0.0
53,0.0,0.0,312000.00000000297,716,1,0.0
54,0.0,0.0,312000.00000000297,668,1,0.0
55,0.0,0.0,312000.00000000297,538,1,0.0
56,0.0,0.0,312000.00000000297,575,2,0.0
57,0.0,0.0,312000.00000000297,692,1,0.0
58,0.0,0.0,312000.00000000297,574,1,0.0
59,0.0,0.0,312000.00000000297,353,1,0.0
60,0.0,0.0,312000.00000000297,375,2,0.0
61,0.0,0.0,312000.00000000297,599,1,0.0
62,0.0,0.0,312000.00000000297,686,1,0.0
63,0.0,0.0,312000.00000000297,670,1,0.0
64,0.0,0.0,312000.00000000297,695,1,0.0
65,0.0,0.0,312000.00000000297,714,1,0.0
66,0.0,0.0,312000.00000000297,383,2,0.0
67,0.0,0.0,312000.00000000297,443,1,0.0
68,0.0,0.0,312000.00000000297,609,2,0.0
69,0.0,0.0,312000.00000000297,636,1,0.0
70,0.0,0.0,312000.00000000297,596,1,0.0
71,0.0,0.0,312000.00000000297,621,1,0.0
72,0.0,0.0,312000.00000000297,406,3,0.0
73,0.0,0.0,312000.00000000297,692,1,0.0
74,0.0,0.0,312000.00000000297,573,1,0.0
75,0.0,0.0,312000.00000000297,688,1,0.0
76,0.0,0.0,312000.00000000297,658,1,0.0
77,0.0,0.0,312000.00000000297,588,2,0.0
78,0.0,0.0,312000.00000000297,538,1,0.0
79,0.0,0.0,312000.00000000297,608,1,0.0
80,0.0,0.0,312000.00000000297,568,1,0.0
81,0.0,0.0,312000.00000000297,702,1,0.0
82,0.0,0.0,312000.00000000297,427,1,0.0
83,0.0,0.0,312000.00000000297,683,1,0.0
84,0.0,0.0,312000.00000000297,432,2,0.0
85,0.0,0.0,312000.00000000297,524,1,0.0
86,0.0,0.0,312000.00000000297,352,1,0.0
87,0.0,0.0,312000.00000000297,370,2,0.0
88,0.0,0.0,312000.00000000297,659,1,0.0
89,0.0,0.0,312000.00000000297,500,1,0.0
90,0.0,0.0,312000.00000000297,443,2,0.0
91,0.0,0.0,312000.00000000297,202,1,0.0
92,0.0,0.0,312000.00000000297,634,1,0.0
93,0.0,0.0,312000.00000000297,678,1,0.0
94,0.0,0.0,312000.00000000297,629,1,0.0
95,0.0,0.0,312000.00000000297,549,1,0.0
96,0.0,0.0,312000.00000000297,511,1,0.0
97,0.0,0.0,312000.00000000297,524,1,0.0
98,0.0,0.0,312000.00000000297,677,1,0.0
99,0.0,0.0,312000.00000000297,382,1,0.0
100,0.0,0.0,312000.00000000297,656,1,0.0
101,0.0,0.0,312000.00000000297,601,1,0.0
102,0.0,0.0,312000.00000000297,565,1,0.0
103,0.0,0.0,312000.00000000297,320,3,0.0
104,0.0,0.0,312000.00000000297,706,1,0.0
105,0.0,0.0,312000.00000000297,651,1,0.0
106,0.0,0.0,312000.00000000297,577,2,0.0
107,0.0,0.0,312000.00000000297,710,1,0.0
