H_d,H_u,R,sigma,mean_peg_vol,mean_burn_avax,mean_n_down,mean_n_up
0.15,1.75,0.06,0.6,3.505153246392338,155999.9999999998,1.0,150.33333333333334
0.15,1.75,0.06,0.8986,1.3244674178030924,155999.9999999998,1.0,262.3333333333333
0.15,1.75,0.06,1.2,0.8568990151582145,155999.9999999998,1.0,315.3333333333333
0.15,1.75,0.073,0.6,1.6471699011227434,155999.9999999998,1.0,253.0
0.15,1.75,0.073,0.8986,1.164849234200859,155999.9999999998,1.0,302.6666666666667
0.15,1.75,0.073,1.2,0.8085167050601476,155999.9999999998,1.0,313.3333333333333
0.15,1.75,0.085,0.6,2.8367027943407552,155999.9999999998,1.0,175.0
0.15,1.75,0.085,0.8986,2.1806128116822925,155999.9999999998,1.0,216.66666666666666
0.15,1.75,0.085,1.2,1.0182655364887037,155999.9999999998,1.0,311.6666666666667
0.15,2.0,0.06,0.6,1.3582293515347075,155999.9999999998,0.3333333333333333,69.0
0.15,2.0,0.06,0.8986,2.029363621881986,155999.9999999998,1.0,241.33333333333334
0.15,2.0,0.06,1.2,0.40649490662471877,155999.9999999998,1.0,326.3333333333333
0.15,2.0,0.073,0.6,3.407844008458065,155999.9999999998,0.6666666666666666,58.666666666666664
0.15,2.0,0.073,0.8986,0.8644066010292625,155999.9999999998,1.0,322.0
0.15,2.0,0.073,1.2,1.5794052290192362,155999.9999999998,1.0,282.3333333333333
0.15,2.0,0.085,0.6,1.4068533866884179,155999.9999999998,0.6666666666666666,183.0
0.15,2.0,0.085,0.8986,1.4430797380292173,155999.9999999998,1.0,271.3333333333333
0.15,2.0,0.085,1.2,1.2996344348792468,155999.9999999998,1.0,291.6666666666667
0.15,2.25,0.06,0.6,2.6210296192223104,155999.9999999998,1.0,236.0
0.15,2.25,0.06,0.8986,3.494428895528556,155999.9999999998,1.0,185.33333333333334
0.15,2.25,0.06,1.2,1.6801729592841497,155999.9999999998,1.0,258.0
0.15,2.25,0.073,0.6,4.495870052453806,155999.9999999998,1.0,135.33333333333334
0.15,2.25,0.073,0.8986,2.192786649171397,155999.9999999998,1.0,251.33333333333334
0.15,2.25,0.073,1.2,1.1056211992706042,155999.9999999998,1.3333333333333333,303.6666666666667
0.15,2.25,0.085,0.6,1.106036835647043,155999.9999999998,0.6666666666666666,199.33333333333334
0.15,2.25,0.085,0.8986,2.4644763218030943,155999.9999999998,1.0,228.0
0.15,2.25,0.085,1.2,2.0248922388586554,155999.9999999998,1.0,255.66666666666666
0.15,2.5,0.06,0.6,2.7111145906101703,155999.9999999998,0.6666666666666666,120.0
0.15,2.5,0.06,0.8986,3.023392714339248,155999.9999999998,1.0,191.66666666666666
0.15,2.5,0.06,1.2,0.8568990151582145,155999.9999999998,1.0,309.3333333333333
0.15,2.5,0.073,0.6,4.0742802005605645,155999.9999999998,1.0,159.0
0.15,2.5,0.073,0.8986,1.1529838819605498,155999.9999999998,1.0,307.0
0.15,2.5,0.073,1.2,2.174407061068203,155999.9999999998,1.0,262.3333333333333
0.15,2.5,0.085,0.6,0.7662262931313736,155999.9999999998,0.3333333333333333,106.33333333333333
0.15,2.5,0.085,0.8986,0.555925954060784,155999.9999999998,1.0,330.0
0.15,2.5,0.085,1.2,0.8490082550805624,155999.9999999998,1.0,314.0
0.2,1.75,0.06,0.6,2.9209473627843967,155999.9999999998,0.6666666666666666,168.0
0.2,1.75,0.06,0.8986,1.450676413931592,155999.9999999998,1.0,271.6666666666667
0.2,1.75,0.06,1.2,0.7025765069794812,155999.9999999998,1.0,326.6666666666667
0.2,1.75,0.073,0.6,1.4091013160791828,155999.9999999998,0.6666666666666666,174.33333333333334
0.2,1.75,0.073,0.8986,1.1236940312009642,155999.9999999998,1.0,303.6666666666667
0.2,1.75,0.073,1.2,0.7690314404208071,155999.9999999998,1.0,295.6666666666667
0.2,1.75,0.085,0.6,2.3638976882809977,155999.9999999998,0.3333333333333333,106.33333333333333
0.2,1.75,0.085,0.8986,0.27180912583394656,155999.9999999998,1.0,348.3333333333333
0.2,1.75,0.085,1.2,0.9264855708498189,155999.9999999998,1.0,305.3333333333333
0.2,2.0,0.06,0.6,4.509001108830671,155999.9999999998,1.0,141.0
0.2,2.0,0.06,0.8986,1.5924979310814094,155999.9999999998,1.0,278.3333333333333
0.2,2.0,0.06,1.2,0.4236875368651322,155999.9999999998,1.0,341.3333333333333
0.2,2.0,0.073,0.6,3.056590126948817,155999.9999999998,1.0,207.33333333333334
0.2,2.0,0.073,0.8986,0.9244708768536488,155999.9999999998,1.0,285.3333333333333
0.2,2.0,0.073,1.2,1.6173713826179437,155999.9999999998,1.3333333333333333,263.6666666666667
0.2,2.0,0.085,0.6,1.1574786487192645,155999.9999999998,1.0,289.6666666666667
0.2,2.0,0.085,0.8986,1.4540785439013006,155999.9999999998,1.0,278.3333333333333
0.2,2.0,0.085,1.2,1.7290347550458394,155999.9999999998,1.0,270.0
0.2,2.25,0.06,0.6,2.798071106673849,155999.9999999998,1.0,195.0
0.2,2.25,0.06,0.8986,3.0584553902181333,155999.9999999998,1.0,205.33333333333334
0.2,2.25,0.06,1.2,2.206654033777062,155999.9999999998,1.3333333333333333,226.0
0.2,2.25,0.073,0.6,5.392483719219335,155999.9999999998,0.6666666666666666,76.33333333333333
0.2,2.25,0.073,0.8986,1.470077838116674,155999.9999999998,1.0,245.0
0.2,2.25,0.073,1.2,3.4917819482887786,155999.9999999998,1.0,189.66666666666666
0.2,2.25,0.085,0.6,1.7367122461854916,155999.9999999998,1.0,275.3333333333333
0.2,2.25,0.085,0.8986,1.8618729087376835,155999.9999999998,1.0,227.33333333333334
0.2,2.25,0.085,1.2,1.438280633765449,155999.9999999998,1.0,292.3333333333333
0.2,2.5,0.06,0.6,3.3434057129543384,155999.9999999998,1.0,198.0
0.2,2.5,0.06,0.8986,3.299033883774689,155999.9999999998,0.6666666666666666,91.33333333333333
0.2,2.5,0.06,1.2,1.0531598711594592,155999.9999999998,1.0,242.33333333333334
0.2,2.5,0.073,0.6,2.4664949924826174,155999.9999999998,1.0,245.66666666666666
0.2,2.5,0.073,0.8986,1.1473380051157134,155999.9999999998,1.0,306.0
0.2,2.5,0.073,1.2,1.7368095977153317,155999.9999999998,1.0,277.3333333333333
0.2,2.5,0.085,0.6,1.3969017036698224,155999.9999999998,0.6666666666666666,184.33333333333334
0.2,2.5,0.085,0.8986,2.758106262041702,155999.9999999998,1.3333333333333333,181.0
0.2,2.5,0.085,1.2,1.7193305520354016,155999.9999999998,1.3333333333333333,247.66666666666666
0.25,1.75,0.06,0.6,3.8162127071805543,155999.9999999998,1.0,143.33333333333334
0.25,1.75,0.06,0.8986,1.2198396755090533,155999.9999999998,1.0,270.6666666666667
0.25,1.75,0.06,1.2,2.9052527248657474,155999.9999999998,1.6666666666666667,151.66666666666666
0.25,1.75,0.073,0.6,1.845132882989085,155999.9999999998,0.6666666666666666,141.33333333333334
0.25,1.75,0.073,0.8986,1.5020681790715484,155999.9999999998,1.0,265.6666666666667
0.25,1.75,0.073,1.2,1.2858634712632164,155999.9999999998,1.3333333333333333,284.0
0.25,1.75,0.085,0.6,2.4677953954270486,155999.9999999998,1.0,213.33333333333334
0.25,1.75,0.085,0.8986,1.1070456690100305,155999.9999999998,1.0,299.3333333333333
0.25,1.75,0.085,1.2,0.8179659702780461,155999.9999999998,1.3333333333333333,314.3333333333333
0.25,2.0,0.06,0.6,3.3424807567478907,155999.9999999998,1.0,194.33333333333334
0.25,2.0,0.06,0.8986,1.9406766330751222,155999.9999999998,1.3333333333333333,226.33333333333334
0.25,2.0,0.06,1.2,0.9166195250841139,155999.9999999998,1.0,299.0
0.25,2.0,0.073,0.6,1.974595821713768,155999.9999999998,0.6666666666666666,155.33333333333334
0.25,2.0,0.073,0.8986,1.157069019791328,155999.9999999998,1.0,300.3333333333333
0.25,2.0,0.073,1.2,1.0008866661117481,155999.9999999998,1.0,309.6666666666667
0.25,2.0,0.085,0.6,4.3807035276602475,155999.9999999998,1.0,144.66666666666666
0.25,2.0,0.085,0.8986,1.0008866661117481,155999.9999999998,1.0,310.6666666666667
0.25,2.0,0.085,1.2,0.555925954060784,155999.9999999998,1.0,319.3333333333333
0.25,2.25,0.06,0.6,4.510135873886487,155999.9999999998,1.0,137.66666666666666
0.25,2.25,0.06,0.8986,1.5983262948787411,155999.9999999998,1.0,227.0
0.25,2.25,0.06,1.2,3.094148153428326,155999.9999999998,1.3333333333333333,187.0
0.25,2.25,0.073,0.6,3.3691587921568797,155999.9999999998,1.0,117.66666666666667
0.25,2.25,0.073,0.8986,1.8455825275657858,155999.9999999998,1.0,230.66666666666666
0.25,2.25,0.073,1.2,0.8058134873190993,155999.9999999998,1.3333333333333333,307.6666666666667
0.25,2.25,0.085,0.6,1.9816173889386082,155999.9999999998,0.6666666666666666,154.66666666666666
0.25,2.25,0.085,0.8986,2.169437084664412,155999.9999999998,1.0,254.0
0.25,2.25,0.085,1.2,1.4853870339074824,155999.9999999998,1.3333333333333333,258.0
0.25,2.5,0.06,0.6,3.5862784859136974,155999.9999999998,0.6666666666666666,72.0
0.25,2.5,0.06,0.8986,3.050231944303181,155999.9999999998,1.0,209.66666666666666
0.25,2.5,0.06,1.2,2.285307668246957,155999.9999999998,1.3333333333333333,189.66666666666666
0.25,2.5,0.073,0.6,3.4395518219840415,155999.9999999998,0.6666666666666666,82.33333333333333
0.25,2.5,0.073,0.8986,0.807726676514776,155999.9999999998,0.6666666666666666,207.0
0.25,2.5,0.073,1.2,1.7705377139997232,155999.9999999998,2.0,220.33333333333334
0.25,2.5,0.085,0.6,3.147431356124724,155999.9999999998,0.6666666666666666,93.33333333333333
0.25,2.5,0.085,0.8986,2.460850804335688,155999.9999999998,1.0,236.66666666666666
0.25,2.5,0.085,1.2,1.4404203061354919,155999.9999999998,1.0,293.6666666666667
0.3,1.75,0.06,0.6,1.6039534137696434,155999.9999999998,1.0,261.3333333333333
0.3,1.75,0.06,0.8986,1.9347458162903368,155999.9999999998,1.0,227.66666666666666
