liquidity_usd,liquidity_label,controller_config,Kp,Ki,Kd,initial_price,annualized_peg_vol,max_deviation_pct,rms_deviation_pct,settling_time_days,is_stable,prices,rates,time
30000000.0,$30.0M,No Controller (Core Arb Only),0.0,0.0,0.0,0.85,249.60800852870628,15.000000000000002,3.2347725659971016,18.815679733110926,True,[0.85       0.85135    0.85268785 ... 0.99999701 0.99999703 0.99999706],[ 0.  0. -0. ... -0.  0. -0.],"[0.00000000e+00 5.00417014e-02 1.00083403e-01 ... 5.98999166e+01
 5.99499583e+01 6.00000000e+01]"
30000000.0,$30.0M,P-Only Controller,0.15,0.0,0.0,0.85,202.1315319937147,15.000000000000002,2.509298116080058,11.209341117598,True,[0.85       0.85227563 0.85446875 ... 0.99978372 0.99980205 0.99979174],"[ 0.          0.02314072  0.02158998 ... -0.0002611   0.00040951
 -0.0003023 ]","[0.00000000e+00 5.00417014e-02 1.00083403e-01 ... 5.98999166e+01
 5.99499583e+01 6.00000000e+01]"
30000000.0,$30.0M,PI Controller (Recommended),0.15,0.02,0.0,0.85,214.3951342829475,15.000000000000002,2.50947011006765,36.58048373644704,True,[0.85       0.8522818  0.85448675 ... 1.00063639 1.00065073 1.00063637],"[ 0.          0.02329499  0.02188725 ... -0.00017155  0.00050156
 -0.00021251]","[0.00000000e+00 5.00417014e-02 1.00083403e-01 ... 5.98999166e+01
 5.99499583e+01 6.00000000e+01]"
30000000.0,$30.0M,PID Controller (With D-Term),0.15,0.02,0.005,0.85,214.81259211720908,15.000000000000002,2.514356288752334,36.680567139282736,True,[0.85       0.85229889 0.85446214 ... 1.00063456 1.00066693 1.00063332],"[ 0.          0.02372214  0.02084852 ... -0.00070483  0.00095204
 -0.00069034]","[0.00000000e+00 5.00417014e-02 1.00083403e-01 ... 5.98999166e+01
 5.99499583e+01 6.00000000e+01]"
10000000.0,$10.0M,No Controller (Core Arb Only),0.0,0.0,0.0,0.85,249.60800852870628,15.000000000000002,3.2347725659971016,18.815679733110926,True,[0.85       0.85135    0.85268785 ... 0.99999701 0.99999703 0.99999706],[ 0.  0. -0. ... -0.  0. -0.],"[0.00000000e+00 5.00417014e-02 1.00083403e-01 ... 5.98999166e+01
 5.99499583e+01 6.00000000e+01]"
10000000.0,$10.0M,P-Only Controller,0.15,0.0,0.0,0.85,202.1315319937147,15.000000000000002,2.509298116080058,11.209341117598,True,[0.85       0.85227563 0.85446875 ... 0.99978372 0.99980205 0.99979174],"[ 0.          0.02314072  0.02158998 ... -0.0002611   0.00040951
 -0.0003023 ]","[0.00000000e+00 5.00417014e-02 1.00083403e-01 ... 5.98999166e+01
 5.99499583e+01 6.00000000e+01]"
10000000.0,$10.0M,PI Controller (Recommended),0.15,0.02,0.0,0.85,214.3951342829475,15.000000000000002,2.50947011006765,36.58048373644704,True,[0.85       0.8522818  0.85448675 ... 1.00063639 1.00065073 1.00063637],"[ 0.          0.02329499  0.02188725 ... -0.00017155  0.00050156
 -0.00021251]","[0.00000000e+00 5.00417014e-02 1.00083403e-01 ... 5.98999166e+01
 5.99499583e+01 6.00000000e+01]"
10000000.0,$10.0M,PID Controller (With D-Term),0.15,0.02,0.005,0.85,214.81259211720908,15.000000000000002,2.514356288752334,36.680567139282736,True,[0.85       0.85229889 0.85446214 ... 1.00063456 1.00066693 1.00063332],"[ 0.          0.02372214  0.02084852 ... -0.00070483  0.00095204
 -0.00069034]","[0.00000000e+00 5.00417014e-02 1.00083403e-01 ... 5.98999166e+01
 5.99499583e+01 6.00000000e+01]"
1500000.0,$1.5M,No Controller (Core Arb Only),0.0,0.0,0.0,0.85,249.60800852870628,15.000000000000002,3.2347725659971016,18.815679733110926,True,[0.85       0.85135    0.85268785 ... 0.99999701 0.99999703 0.99999706],[ 0.  0. -0. ... -0.  0. -0.],"[0.00000000e+00 5.00417014e-02 1.00083403e-01 ... 5.98999166e+01
 5.99499583e+01 6.00000000e+01]"
1500000.0,$1.5M,P-Only Controller,0.15,0.0,0.0,0.85,202.1315319937147,15.000000000000002,2.509298116080058,11.209341117598,True,[0.85       0.85227563 0.85446875 ... 0.99978372 0.99980205 0.99979174],"[ 0.          0.02314072  0.02158998 ... -0.0002611   0.00040951
 -0.0003023 ]","[0.00000000e+00 5.00417014e-02 1.00083403e-01 ... 5.98999166e+01
 5.99499583e+01 6.00000000e+01]"
1500000.0,$1.5M,PI Controller (Recommended),0.15,0.02,0.0,0.85,214.3951342829475,15.000000000000002,2.50947011006765,36.58048373644704,True,[0.85       0.8522818  0.85448675 ... 1.00063639 1.00065073 1.00063637],"[ 0.          0.02329499  0.02188725 ... -0.00017155  0.00050156
 -0.00021251]","[0.00000000e+00 5.00417014e-02 1.00083403e-01 ... 5.98999166e+01
 5.99499583e+01 6.00000000e+01]"
1500000.0,$1.5M,PID Controller (With D-Term),0.15,0.02,0.005,0.85,214.81259211720908,15.000000000000002,2.514356288752334,36.680567139282736,True,[0.85       0.85229889 0.85446214 ... 1.00063456 1.00066693 1.00063332],"[ 0.          0.02372214  0.02084852 ... -0.00070483  0.00095204
 -0.00069034]","[0.00000000e+00 5.00417014e-02 1.00083403e-01 ... 5.98999166e+01
 5.99499583e+01 6.00000000e+01]"
